,Addresse,Bathrooms,Beds,area,neighbhourhood,price
0,0 Gateway,,,,"Rock Springs, WY 82901","$725,000"
1,1003 Winchester Blvd.,4,4,,"Rock Springs, WY 82901","$452,900"
2,600 Talladega,3,5,"3,154 Sq. Ft","Rock Springs, WY 82901","$396,900"
3,3239 Spearhead Way,3,4,"3,076 Sq. Ft","Rock Springs, WY 82901","$389,900"
4,522 Emerald Street,3,3,"1,172 Sq. Ft","Rock Springs, WY 82901","$254,000"
5,1302 Veteran's Drive,2,4,"1,932 Sq. Ft","Rock Springs, WY 82901","$252,900"
6,1021 Cypress Cir,3,4,"1,676 Sq. Ft","Rock Springs, WY 82901","$210,000"
7,913 Madison Dr,2,3,"1,344 Sq. Ft","Rock Springs, WY 82901","$209,000"
8,1344 Teton Street,2,3,"1,920 Sq. Ft","Rock Springs, WY 82901","$199,900"
9,4 Minnies Lane,2,3,"1,664 Sq. Ft","Rock Springs, WY 82901","$196,900"
10,0 Gateway,,,,"Rock Springs, WY 82901","$725,000"
11,1003 Winchester Blvd.,4,4,,"Rock Springs, WY 82901","$452,900"
12,600 Talladega,3,5,"3,154 Sq. Ft","Rock Springs, WY 82901","$396,900"
13,3239 Spearhead Way,3,4,"3,076 Sq. Ft","Rock Springs, WY 82901","$389,900"
14,522 Emerald Street,3,3,"1,172 Sq. Ft","Rock Springs, WY 82901","$254,000"
15,1302 Veteran's Drive,2,4,"1,932 Sq. Ft","Rock Springs, WY 82901","$252,900"
16,1021 Cypress Cir,3,4,"1,676 Sq. Ft","Rock Springs, WY 82901","$210,000"
17,913 Madison Dr,2,3,"1,344 Sq. Ft","Rock Springs, WY 82901","$209,000"
18,1344 Teton Street,2,3,"1,920 Sq. Ft","Rock Springs, WY 82901","$199,900"
19,4 Minnies Lane,2,3,"1,664 Sq. Ft","Rock Springs, WY 82901","$196,900"
20,0 Gateway,,,,"Rock Springs, WY 82901","$725,000"
21,1003 Winchester Blvd.,4,4,,"Rock Springs, WY 82901","$452,900"
22,600 Talladega,3,5,"3,154 Sq. Ft","Rock Springs, WY 82901","$396,900"
23,3239 Spearhead Way,3,4,"3,076 Sq. Ft","Rock Springs, WY 82901","$389,900"
24,522 Emerald Street,3,3,"1,172 Sq. Ft","Rock Springs, WY 82901","$254,000"
25,1302 Veteran's Drive,2,4,"1,932 Sq. Ft","Rock Springs, WY 82901","$252,900"
26,1021 Cypress Cir,3,4,"1,676 Sq. Ft","Rock Springs, WY 82901","$210,000"
27,913 Madison Dr,2,3,"1,344 Sq. Ft","Rock Springs, WY 82901","$209,000"
28,1344 Teton Street,2,3,"1,920 Sq. Ft","Rock Springs, WY 82901","$199,900"
29,4 Minnies Lane,2,3,"1,664 Sq. Ft","Rock Springs, WY 82901","$196,900"
